Date,Open,High,Low,Close,Volume
1/1/2008,269.25,269.25,263,263.638,928388
1/2/2008,265,265.25,257.875,262.5,2864924
1/3/2008,257.524994,261.25,251.337006,252.761993,5168280
1/4/2008,252.761993,255.725006,250.574997,251.300003,2318868
1/7/2008,250,252.199997,243.125,243.899994,3647344
1/8/2008,245,248,242.324997,246.962006,3207732
1/9/2008,248.699997,251.5,247.475006,249.074997,2450128
1/10/2008,249.5,252.375,240.5,245.412994,3342376
1/11/2008,228.837006,251,228.837006,247.438004,2149188
1/14/2008,249.949997,249.949997,238.899994,240.287994,4158864
1/15/2008,241.25,242,233.5,235,2935588
1/16/2008,235,241.675003,231.25,236.238007,3131956
1/17/2008,241.449997,241.5,229.75,230.675003,6302096
1/18/2008,232.375,235,224.274994,225.800003,4333816
1/21/2008,226,226.175003,201.311996,207.761993,4840032
1/22/2008,203.675003,247.5,181.25,200.061996,6376872
1/23/2008,214.75,222.5,201.25,217.988007,5359120
1/24/2008,217.5,222,206.438004,210.811996,2013336
1/25/2008,213.25,224.425003,212.524994,221.149994,2243116
1/28/2008,217.5,217.5,206.25,213.574997,2485660
1/29/2008,214,221.149994,213.75,216.925003,3258712
1/30/2008,220.5,223,215,217.462006,3032856
1/31/2008,217.5,222.5,208.837006,218.438004,5966956
2/1/2008,221.25,235.274994,218.324997,232.375,4169520
2/4/2008,236.25,247.25,234.75,243.912994,3730520
2/5/2008,240,243.75,233.912994,238.761993,1722872
2/6/2008,232.5,232.5,223.625,226.524994,4007952
2/7/2008,226.524994,226.524994,217.761993,219.761993,2574652
2/8/2008,221,231.25,220,224.600006,2576820
2/11/2008,224.600006,233,215.024994,226.524994,3200988
2/12/2008,226.25,231.25,215,216.162994,5161328
2/13/2008,218.75,224.25,212.824997,217.238007,2185376
2/14/2008,221.25,225,215.25,218.449997,2246480
2/15/2008,215,221.761993,215,218.175003,2213044
2/18/2008,218.175003,218.75,212.5,213.300003,1723160
2/19/2008,214,221,213.75,218.863007,1947288
2/20/2008,219.975006,223.662994,218.311996,221.524994,3060624
2/21/2008,224.5,232.75,220.5,228.662994,3562052
2/22/2008,230,230.225006,221.25,225.136993,2401516
2/25/2008,232,232.25,222.561996,225.188004,3255460
2/26/2008,231,231,223.75,224.600006,4999584
2/27/2008,227,228.712006,218.511993,219.386993,2364056
2/28/2008,221.25,222.5,218,220.225006,5579004
2/29/2008,220,222.925003,215.875,219.350006,3416480
3/3/2008,216.5,217.175003,210,212.149994,3141328
3/4/2008,214.5,217.5,211.774994,214.699997,3010532
3/5/2008,211.25,220.699997,211.25,218.824997,2209348
3/7/2008,215.649994,216.524994,210.561996,211.537994,1996828
3/10/2008,211.537994,213.5,207.5,208.412994,2494168
3/11/2008,210,210,205,205.875,4043520
3/12/2008,209.75,212.5,202.561996,205.886993,1884412
3/13/2008,203.75,203.75,190.25,194.925003,3408600
3/14/2008,195,203.225006,187.5,200.962006,2216056
3/17/2008,193.75,199.425003,192.188004,197.962006,1958904
3/18/2008,197.5,207.199997,192.5,204.425003,3596080
3/19/2008,207,210,201.386993,202.863007,4361924
3/24/2008,202.863007,209.375,202.863007,205.925003,3301984
3/25/2008,210,224.962006,208.75,219.125,2928896
3/26/2008,235,235,212.886993,219.587006,2171768
3/27/2008,218,219,210.274994,213.125,6151152
3/28/2008,213.25,218.675003,213,217.761993,3633696
3/31/2008,217.761993,217.761993,199.25,202.613007,4051860
4/1/2008,205,213.225006,202.5,208.087006,2086728
4/2/2008,212.5,217.25,212.311996,212.811996,1428844
4/3/2008,212.5,223,212.5,221.350006,3287172
4/4/2008,221.5,222.475006,215.011993,218.225006,2020844
4/7/2008,223.75,230.024994,219.550003,226.024994,3659528
4/8/2008,226.25,226.75,218.75,221.837006,4055352
4/9/2008,220,223,217.25,219.061996,1482600
4/10/2008,220,229.912994,219.25,224.886993,2925932
4/11/2008,225.761993,231.25,223.311996,227,2189264
4/15/2008,230.5,246.25,220.100006,243.537994,5703772
4/16/2008,246.25,250.5,240.5,242.975006,6438768
4/17/2008,249.925003,252.5,244.886993,250.225006,3999556
4/21/2008,252.25,258.75,246.649994,248.350006,3399296
4/22/2008,246.238007,246.238007,220.5,221.800003,13785196
4/23/2008,221.75,226.425003,220.011993,222.287994,6326156
4/24/2008,226,226.225006,216,222.688004,15290096
4/25/2008,228,228,221.25,222.324997,6828568
4/28/2008,202.25,224,180,220.425003,6598136
4/29/2008,220.511993,232.5,217.537994,227.636993,16209848
4/30/2008,229.024994,233.938004,226.625,230.25,9487980
5/2/2008,231.25,240.5,231,235.938004,5298780
5/5/2008,236.25,237.375,230.287994,231.863007,3613764
5/6/2008,227.5,237.5,218.149994,234.261993,3982796
5/7/2008,237.5,244.975006,237.5,241.688004,12585540
5/8/2008,241.225006,241.25,229.5,236.75,10845832
5/9/2008,239.75,239.75,227.5,229.25,4492296
5/12/2008,229.25,233.712006,227.574997,231.725006,3898508
5/13/2008,232.5,235.350006,222.25,226.261993,4462876
5/14/2008,226.25,244.738007,222.787994,242.787994,9373188
5/15/2008,243.25,250.5,240.024994,246.188004,7177896
5/16/2008,248.5,248.5,242.125,245.261993,3838648
5/20/2008,243.75,247.5,236.811996,239.024994,4946904
5/21/2008,232,242,228.75,241.274994,3140184
5/22/2008,239.125,246.375,237.75,240.287994,5445200
5/23/2008,243.725006,244.925003,231.524994,233.100006,5401384
5/26/2008,230,240.725006,229,238.863007,5457272
5/27/2008,245,248.5,236.5,242.225006,5682072
5/28/2008,242.524994,253.811996,242.524994,252.363007,5469588
5/29/2008,252.25,257.087006,246,248.662994,8258940
5/30/2008,247.75,262.25,244.5,259.787994,15485284
