Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,ADX,sma18,upper bb,lower bb,CMF,ema2,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA3,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stsd,stck,b%,Dx
2/15/2008,825,829,805,812.450012,658133,-2251449.793,817.862503,0,40,47.8064072,16.93498421,23.22559029,17.06845665,836.9527791,889.0394062,768.5405866,0.024938543,816.383208,-24.35539041,-23.04934995,-1.306040457,44.21080227,-4679510,-2.851418259,-1775,-0.020200193,0.979799807,31.75422712,817,-52.54440781,-84.899964,-86.200012,-94.900024,-95,818.8333433,923.900024,775,829.0326549,829.200012,845,820,41.63765506,40.87611261,25.15111213,0.364397141,15.66363569
2/18/2008,830,830,801,806.200012,212449,-2387710.011,816.800003,0,30,46.4630924,16.17998474,22.19014154,16.56286915,835.8444451,859.9440127,779.4059873,0.001461044,809.5604667,-24.53808466,-23.34709689,-1.190987769,36.34916126,-4891959,-2.884140908,-725,-0.007692781,0.992307219,21.2236332,815.5,-46.72381958,-66.399964,-68,-90,-82,812.1166787,920,775,833.3120259,812.450012,829,805,0,18.27805293,20.95366486,0.332687877,15.66363569
2/19/2008,813,819,805.150024,809.400024,394126,-2539953.209,811.637512,0,20,44.13358408,15.81729949,28.51455986,16.83229951,836.9916687,832.9415523,793.7684573,-0.061612107,809.4529701,-24.16885362,-23.51144824,-0.657405383,36.8427142,-4497833,-2.850450252,220.0012,0.003969253,1.003969253,10.32301696,812.075012,-41.27499418,-22.849976,-21.849976,-41,-42.099976,808.8416847,860,775,837.8250745,806.200012,830,801,33.86251785,23.44833793,23.10276592,0.399038338,28.64138919
2/20/2008,808,808,763,769.700012,750169,-3066738.151,787.175003,50,90,44.19547094,14.66692551,27.82257494,18.73672497,833.4361131,836.1968757,778.0031363,-0.12114715,782.8184882,-26.79920448,-24.16899949,-2.630204994,36.90989593,-5248002,-3.181207946,-4070.0012,-0.049048691,0.950951309,15.33539683,785.5,-41.03279172,-30.299988,-27,-37,-37,789.0166827,850,763,838.3179519,809.400024,819,805.150024,7.459231258,20.46495357,4.164083903,-0.142680714,30.96211838
2/21/2008,777,790,754.450012,763.150024,631746,-3389274.607,771.150009,40,90,43.57793644,13.81228427,26.91436861,20.87122593,827.7944471,842.718791,764.1112258,-0.119042368,769.6406172,-29.12110423,-25.15942044,-3.961683793,29.30261208,-5879748,-3.479750993,-754.9988,-0.008509793,0.991490207,20.7149123,772.225006,-47.24882011,-42.599976,-25.649964,-24,-25,773.0416867,850,754.450012,848.1499132,769.700012,808,763,0,14.1054159,5.134264611,-0.012227853,32.17078601
2/22/2008,765,774.799988,750.099976,766.349976,599096,-3200086.78,764.062485,30,90,42.22951327,18.42794183,25.78992612,21.39094854,822.4250013,844.530956,754.419056,-0.131111684,767.4358876,-30.39479823,-26.20649599,-4.188302231,17.30073344,-5280652,-3.65349937,219.9952,0.004193084,1.004193084,23.74657069,762.449982,-52.31911729,-47,-24.900024,-75.200012,-40.75,765.8416647,850,750.099976,850.9795079,763.150024,790,754.450012,32.82022248,28.4866586,9.564448325,0.132401159,16.64934252
2/25/2008,775,805.5,768.25,800.549988,623552,-2742257.726,787.324997,20,80,41.87383375,19.04810267,24.15120287,20.73194531,819.9555562,842.3191657,754.0708487,-0.111375161,789.6223349,-28.34650699,-26.63449819,-1.712008795,25.60371991,-4657100,-3.416313904,3320.0012,0.044627146,1.044627146,23.25547343,786.875,-53.15808788,-7.150024,-28,-21.5,-40.400024,782.9166567,845,750.099976,847.7169434,766.349976,774.799988,750.099976,100,65.89587835,45.90536941,0.526685844,11.81292185
2/26/2008,811.299988,816,791,813.299988,349139,-2468533.086,807.899994,10,70,40.66855991,22.42698067,23.09074861,18.71950821,817.9055549,843.4854542,754.0245554,-0.121304462,805.4863625,-25.40969444,-26.38953744,0.979843002,31.07016467,-4307961,-3.066623101,1175,0.015926551,1.015926551,23.5750168,803.5,-49.57161969,-3.950012,-11.150024,-8.950012,-0.700012,801.224986,845,750.099976,844.0513844,800.549988,805.5,768.25,100,92.70524438,63.26326008,0.66258481,1.458262406
2/27/2008,815,840,815,832.900024,678206,-2175546.791,825.725006,0,60,39.54937706,21.9561867,22.04816633,16.46501043,813.858334,848.4920236,752.1479908,-0.073405214,823.8535157,-21.25333945,-25.36229784,4.108958393,40.59220654,-3629755,-2.564070661,1860.0036,0.024099393,1.024099393,25.38888191,827.5,-38.35103164,3.700012,-5,-5,-6.099976,820.975006,845,750.099976,844.2619278,813.299988,816,791,100,89.92788883,82.88291102,0.838163307,0.20902393
2/28/2008,830,843,816.700012,837.150024,517893,-1888046.415,831.712509,90,50,38.60299212,26.80879454,20.97521747,16.06909499,810.5138922,851.3840172,750.8459996,-0.064618143,832.7621763,-17.40458077,-23.77075443,6.366173661,48.74294333,-3111862,-2.098280556,325,0.005102653,1.005102653,26.49409391,829.850006,-24.54220828,24.700012,11.700012,14,5,831.7583513,843,750.099976,844.9995957,832.900024,840,815,100,82.30874082,87.13716425,0.858421784,12.20821951
