Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,Dx,ADX,sma8,upper bb,lower bb,%b,CMF,ema26,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA20,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stck2,stcd2
2/15/2008,215,221.761993,215,218.175003,2213044,-23593441.75,217.484249,0,90,12.58966399,13.30148752,22.5171125,25.72860181,22.45038432,220.9297485,242.9797674,207.0428276,0.309769709,-0.058591591,218.208829,-5.530429153,-5.26673143,-0.263697723,41.73065619,-17558436,-2.428233649,-127.4994,-0.001258842,0.998741158,9.470215161,218.3809965,-10.72333041,-25.737991,-19.75,-25.488007,-21.25,222.3921226,247.25,212.824997,215.547948,218.449997,225,215.25,81.50659321,31.75003,38.97562532
2/18/2008,218.175003,218.75,212.5,213.300003,1723160,-24875471.13,215.6812515,0,90,12.13683085,14.13640601,21.68886643,21.08137609,21.0985409,219.2766246,235.9974828,207.902514,0.192115856,-0.045547476,214.9199156,-5.857283007,-5.384841745,-0.472441262,36.04158365,-19281596,-2.583221348,-587.5,-0.022344448,0.977655552,7.403674337,215.625,-10.91553569,-25.46199,-21.412994,-25,-21.824997,221.722304,243.75,212.5,216.7377567,218.175003,221.761993,215,0,8.637482235,20.19375612
2/19/2008,214,221,213.75,218.863007,1947288,-24076139.22,216.9032518,0,80,11.7877715,15.1290234,20.7360371,15.63363795,19.00246937,219.1642514,228.459957,211.4602426,0.435464045,0.008690243,217.5617868,-5.609119187,-5.429697233,-0.179421953,34.47448905,-17334308,-2.47980726,456.3004,0.026080656,1.026080656,4.479818105,217.375,-10.76590334,-7.661987,-9.875,-11.5,-18.5,221.5559238,233,212.5,220.1919847,213.300003,218.75,212.5,53.29566841,74.85890588,41.74819406
2/20/2008,219.975006,223.662994,218.311996,221.524994,3060624,-23461269.87,220.8687475,20,70,11.32800196,20.34836033,20.03638975,0.772496003,17.46148128,218.7798749,226.8754889,212.0447107,0.639230333,-0.032446018,220.2171356,-5.141090975,-5.371975982,0.230885007,44.23002501,-14273684,-2.276177998,166.1987,0.0121628,1.0121628,3.908253237,220.987495,-9.237492038,1.763001,0.550003,-2.862,-6.549988,221.5535375,233,212.5,220.3063243,218.863007,221,213.75,100,78.43234849,76.64562719
2/21/2008,224.5,232.75,220.5,228.662994,3562052,-22276055.08,226.6032485,90,60,11.39385897,18.78569263,18.49768007,0.772496003,17.11018174,219.0471249,229.6054542,211.0949456,0.949085127,0.0022196,225.8758607,-4.146093219,-5.126799429,0.98070621,43.33642743,-10711632,-1.834060117,613.8,0.032222098,1.032222098,4.87794732,226.625,-7.157344935,4.062988,0.5,1.5,3.5,222.214118,233,212.5,222.1990721,221.524994,223.662994,218.311996,100,71.69272151,75.062535
2/22/2008,230,230.225006,221.25,225.136993,2401516,-22597421.85,226.6529998,90,50,11.22108375,19.00147072,17.44088891,4.28232921,16.94125531,220.1688748,229.7628095,211.0449877,0.752865663,-0.019505223,225.3808194,-3.598093594,-4.821058262,1.222964668,34.66856011,-13113148,-1.592103247,-452.6001,-0.015420077,0.984579923,4.932579124,225.737503,-5.041190826,-1.388001,6.225006,-2.774994,5.399994,222.4538841,233,212.5,222.0587752,228.662994,232.75,220.5,66.93547759,37.85300408,54.7728628
2/25/2008,232,232.25,222.561996,225.188004,3255460,-24088046.91,228,90,40,11.11157806,17.81810837,16.35471555,4.28232921,15.98301299,221.1626244,229.3082112,211.232188,0.772062298,-0.055422897,225.2516331,-3.123039027,-4.481454415,1.358415388,41.66008352,-9857688,-1.38224466,-94.8989,0.000226578,1.000226578,4.763450345,227.405998,-2.162741212,9.02501,7.561996,1,5.75,222.6795227,232.75,212.5,223.6125066,225.136993,230.225006,221.25,1.426078526,35.80003636,36.82652022
2/26/2008,231,231,223.75,224.600006,4999584,-27915306.38,227.5875015,80,30,10.83575105,16.96655367,19.02595904,5.721760469,14.72943163,221.9313755,230.0351989,212.1926027,0.69538105,-0.106700654,224.8150429,-2.761756323,-4.137514797,1.375758474,40.65836421,-14857272,-1.222849916,-158.7998,-0.002611143,0.997388857,4.701936967,227.375,0.487626524,7.361999,10.925003,6.75,12.25,222.7938614,232.75,212.5,224.8068976,225.188004,232.25,222.561996,7.982829663,21.03642814,28.41823225
2/27/2008,227,228.712006,218.511993,219.386993,2364056,-29873765.06,223.402748,70,20,10.79034119,15.82095857,18.08023408,6.66429506,14.03201288,222.0828743,229.9652743,212.6923245,0.387581077,-0.120394773,221.1782495,-2.864204944,-3.882852826,1.018647883,40.8573789,-17221328,-1.270756034,-621.3013,-0.023210209,0.976789791,4.551821917,223.6119995,1.683865674,0.936996,3.261993,3.712006,5.75,222.3751751,232.75,212.5,226.2573463,224.600006,231,223.75,0,7.00672253,14.02157534
2/28/2008,221.25,222.5,218,220.225006,5579004,-29935739.11,220.4937515,60,10,10.34103111,15.32919832,18.98604971,10.65663693,13.26623326,222.9484996,229.9700474,213.0425532,0.424306912,-0.16072029,220.5395763,-2.848075386,-3.675897338,0.827821952,32.19520573,-11642324,-1.265631522,-16.1987,0.003819793,1.003819793,4.460786376,220.25,0.987351056,2.050003,3,0.738007,6.25,222.027133,232.75,212.5,228.2214279,219.386993,228.712006,218.511993,13.84910592,20.77114221,13.88893237
